description,amount,category
Car Loan EMI,1742.35,liability
Salary Credit,384.95,income
Car Loan EMI,6671.16,liability
Salary Credit,5292.02,income
Swiggy Order,9619.99,expense
Interest Credit,2489.66,income
Stock Purchase,6753.19,asset
Mutual Fund Investment,8565.38,asset
Car Loan EMI,5126.35,liability
Mutual Fund Investment,2961.97,asset
Gold Investment,8029.98,asset
Car Loan EMI,7538.61,liability
Loan EMI,5170.2,liability
Interest Credit,1074.4,income
Interest Credit,5151.87,income
Gold Investment,9546.08,asset
Interest Credit,6230.82,income
Bonus Received,8992.19,income
Amazon Purchase,5456.97,expense
Mutual Fund Investment,7543.27,asset
Amazon Purchase,8617.45,expense
Bonus Received,4795.47,income
Credit Card Bill,4846.55,liability
Home Loan Interest,8615.16,liability
Interest Credit,891.62,income
FD Deposit,7622.04,asset
Freelance Payment,3123.94,income
Loan EMI,5151.48,liability
Salary Credit,3637.18,income
Gold Investment,7782.97,asset
Electricity Bill,3535.64,expense
Interest Credit,524.63,income
Credit Card Bill,8518.04,liability
Gold Investment,2114.48,asset
Freelance Payment,2994.1,income
Uber Ride,5833.3,expense
Loan EMI,4541.17,liability
Loan EMI,3795.22,liability
Swiggy Order,4452.49,expense
Swiggy Order,945.74,expense
Amazon Purchase,221.98,expense
Amazon Purchase,4772.78,expense
Mutual Fund Investment,3973.38,asset
Electricity Bill,6844.46,expense
Stock Purchase,5867.8,asset
Stock Purchase,9142.44,asset
Bonus Received,1606.5,income
Salary Credit,8650.51,income
Stock Purchase,767.83,asset
Home Loan Interest,1537.93,liability
Gold Investment,8992.25,asset
Credit Card Bill,2447.03,liability
Mutual Fund Investment,9114.52,asset
Amazon Purchase,3826.17,expense
Loan EMI,6793.31,liability
Freelance Payment,4823.83,income
Loan EMI,570.35,liability
Stock Purchase,1430.02,asset
FD Deposit,300.82,asset
Gold Investment,586.39,asset
Freelance Payment,2682.97,income
Car Loan EMI,7940.2,liability
Bonus Received,4901.93,income
Car Loan EMI,1896.26,liability
Electricity Bill,6620.83,expense
Stock Purchase,5322.24,asset
Credit Card Bill,3084.1,liability
Freelance Payment,3773.14,income
Gold Investment,8610.16,asset
Loan EMI,6149.83,liability
Home Loan Interest,7387.21,liability
Mutual Fund Investment,3062.81,asset
FD Deposit,6607.99,asset
Credit Card Bill,2658.02,liability
Loan EMI,3234.87,liability
Loan EMI,2511.44,liability
Home Loan Interest,7078.34,liability
Stock Purchase,347.11,asset
Interest Credit,3580.81,income
Car Loan EMI,8057.81,liability
Uber Ride,3793.04,expense
Freelance Payment,2822.96,income
Salary Credit,5284.38,income
Credit Card Bill,9695.18,liability
Car Loan EMI,685.51,liability
Swiggy Order,5997.49,expense
Freelance Payment,7622.74,income
Electricity Bill,3431.96,expense
Uber Ride,3062.02,expense
FD Deposit,5133.64,asset
Stock Purchase,1366.42,asset
Home Loan Interest,5676.84,liability
Gold Investment,4648.47,asset
Salary Credit,3056.52,income
FD Deposit,813.01,asset
Home Loan Interest,6544.66,liability
Swiggy Order,6358.08,expense
Mutual Fund Investment,7603.21,asset
Freelance Payment,6813.79,income
Amazon Purchase,9931.05,expense
Uber Ride,645.05,expense
Mutual Fund Investment,2068.34,asset
Bonus Received,1428.2,income
Gold Investment,8524.23,asset
Gold Investment,108.4,asset
Interest Credit,5462.45,income
Electricity Bill,6104.59,expense
Amazon Purchase,9031.89,expense
Freelance Payment,4682.85,income
Uber Ride,551.93,expense
Salary Credit,9211.17,income
Car Loan EMI,8407.13,liability
Amazon Purchase,8038.78,expense
Mutual Fund Investment,3755.6,asset
Uber Ride,2862.02,expense
FD Deposit,8785.27,asset
Mutual Fund Investment,4727.36,asset
Bonus Received,2838.27,income
FD Deposit,1886.25,asset
Bonus Received,7330.61,income
Gold Investment,6592.66,asset
Amazon Purchase,5017.51,expense
Loan EMI,596.52,liability
Swiggy Order,1443.67,expense
Uber Ride,9691.23,expense
Stock Purchase,5917.81,asset
Home Loan Interest,7413.98,liability
Interest Credit,9914.49,income
Stock Purchase,2407.53,asset
Gold Investment,8984.96,asset
Home Loan Interest,8643.39,liability
Amazon Purchase,4311.48,expense
Gold Investment,1199.33,asset
Stock Purchase,5215.08,asset
Loan EMI,5537.93,liability
Home Loan Interest,8606.67,liability
Amazon Purchase,4411.8,expense
FD Deposit,3510.7,asset
Uber Ride,6839.65,expense
Home Loan Interest,832.25,liability
Electricity Bill,2909.79,expense
FD Deposit,9253.23,asset
Gold Investment,9390.03,asset
Gold Investment,5757.85,asset
Uber Ride,5865.77,expense
Bonus Received,6728.04,income
Loan EMI,8958.6,liability
Uber Ride,439.77,expense
Salary Credit,4475.64,income
Bonus Received,8382.85,income
Interest Credit,4329.6,income
Electricity Bill,3671.0,expense
Swiggy Order,1312.53,expense
Uber Ride,3152.73,expense
Mutual Fund Investment,2859.77,asset
Interest Credit,6633.07,income
Uber Ride,7267.91,expense
Interest Credit,6783.93,income
Uber Ride,5717.08,expense
FD Deposit,1357.04,asset
Mutual Fund Investment,9433.93,asset
FD Deposit,8691.97,asset
Salary Credit,2333.24,income
Car Loan EMI,2236.35,liability
Loan EMI,9138.32,liability
Electricity Bill,8542.03,expense
Loan EMI,6251.56,liability
Swiggy Order,2716.68,expense
Interest Credit,9376.07,income
Freelance Payment,8888.47,income
Car Loan EMI,6178.79,liability
Electricity Bill,2299.63,expense
Credit Card Bill,6115.73,liability
Amazon Purchase,2476.83,expense
Uber Ride,7945.41,expense
Interest Credit,2685.04,income
Loan EMI,7136.48,liability
Salary Credit,7845.43,income
Loan EMI,120.58,liability
Freelance Payment,849.39,income
Electricity Bill,172.42,expense
Electricity Bill,9657.71,expense
Bonus Received,6326.49,income
Amazon Purchase,8423.04,expense
Loan EMI,7142.18,liability
Uber Ride,6945.35,expense
Car Loan EMI,1879.1,liability
Freelance Payment,6352.03,income
Uber Ride,7179.45,expense
Bonus Received,5466.84,income
FD Deposit,8209.34,asset
FD Deposit,3851.15,asset
Freelance Payment,1172.64,income
Amazon Purchase,8759.69,expense
Salary Credit,2810.41,income
Electricity Bill,5133.83,expense
Bonus Received,7937.85,income
Amazon Purchase,1384.6,expense
Uber Ride,1239.24,expense
Uber Ride,7857.19,expense
Car Loan EMI,2431.78,liability
Home Loan Interest,7138.22,liability
Salary Credit,8772.75,income
Loan EMI,2271.16,liability
Amazon Purchase,4953.31,expense
Bonus Received,837.7,income
Interest Credit,9214.29,income
Home Loan Interest,246.29,liability
Credit Card Bill,1547.42,liability
Stock Purchase,318.98,asset
Interest Credit,7713.22,income
Credit Card Bill,8063.03,liability
Interest Credit,5109.03,income
Electricity Bill,7185.06,expense
Stock Purchase,5927.49,asset
Car Loan EMI,4603.37,liability
Stock Purchase,926.98,asset
Uber Ride,4842.68,expense
Salary Credit,5307.17,income
Swiggy Order,8748.86,expense
Stock Purchase,3592.03,asset
Home Loan Interest,1760.59,liability
Uber Ride,6472.93,expense
Amazon Purchase,284.63,expense
Credit Card Bill,9407.18,liability
Bonus Received,1566.83,income
Salary Credit,865.46,income
Loan EMI,7519.91,liability
Gold Investment,6474.73,asset
Loan EMI,2121.94,liability
Loan EMI,2057.42,liability
Interest Credit,9534.85,income
Home Loan Interest,6807.34,liability
Swiggy Order,6945.76,expense
Home Loan Interest,259.42,liability
Interest Credit,6743.02,income
FD Deposit,4424.93,asset
Bonus Received,5190.84,income
Electricity Bill,1013.62,expense
Home Loan Interest,6868.86,liability
FD Deposit,450.4,asset
Stock Purchase,5155.65,asset
Loan EMI,1921.02,liability
Credit Card Bill,9338.98,liability
Uber Ride,2581.41,expense
Car Loan EMI,5308.67,liability
Mutual Fund Investment,8884.98,asset
Freelance Payment,519.22,income
Amazon Purchase,7318.94,expense
Uber Ride,4244.25,expense
Swiggy Order,703.24,expense
Loan EMI,9955.46,liability
Swiggy Order,7049.36,expense
Mutual Fund Investment,2112.34,asset
Stock Purchase,8502.98,asset
Home Loan Interest,9302.27,liability
Stock Purchase,2113.73,asset
Electricity Bill,7064.41,expense
Stock Purchase,3575.18,asset
Car Loan EMI,7991.22,liability
Mutual Fund Investment,5196.05,asset
Mutual Fund Investment,5067.5,asset
Interest Credit,6218.46,income
Gold Investment,1317.27,asset
Uber Ride,4787.85,expense
Stock Purchase,826.01,asset
Interest Credit,8067.49,income
Credit Card Bill,3572.19,liability
Interest Credit,3562.42,income
Swiggy Order,5667.37,expense
Mutual Fund Investment,7774.1,asset
Home Loan Interest,9570.78,liability
Home Loan Interest,2972.14,liability
Interest Credit,1541.63,income
Interest Credit,5880.05,income
Swiggy Order,115.34,expense
Mutual Fund Investment,536.81,asset
Gold Investment,5353.9,asset
Loan EMI,8082.14,liability
Stock Purchase,6738.78,asset
Electricity Bill,3989.9,expense
Amazon Purchase,5438.76,expense
Gold Investment,9870.51,asset
Mutual Fund Investment,7956.69,asset
Car Loan EMI,9195.83,liability
Car Loan EMI,5398.86,liability
Gold Investment,1093.85,asset
Bonus Received,9393.18,income
Mutual Fund Investment,6687.53,asset
Mutual Fund Investment,5397.97,asset
Swiggy Order,7391.44,expense
FD Deposit,4620.1,asset
Amazon Purchase,6423.43,expense
Freelance Payment,5231.46,income
Stock Purchase,9976.22,asset
Home Loan Interest,8151.76,liability
Gold Investment,3278.64,asset
Gold Investment,5192.98,asset
Loan EMI,2237.86,liability
Uber Ride,3916.25,expense
Home Loan Interest,3896.15,liability
Loan EMI,8155.95,liability
Car Loan EMI,1738.31,liability
Stock Purchase,6914.48,asset
Loan EMI,5892.39,liability
Uber Ride,9059.14,expense
Gold Investment,8744.27,asset
Loan EMI,2658.53,liability
Gold Investment,8987.73,asset
Stock Purchase,1781.55,asset
Interest Credit,7073.14,income
Electricity Bill,4107.43,expense
Freelance Payment,3305.32,income
FD Deposit,586.65,asset
Loan EMI,1733.38,liability
Salary Credit,234.71,income
Stock Purchase,7563.76,asset
Loan EMI,7061.6,liability
Gold Investment,2685.69,asset
Salary Credit,1328.97,income
Amazon Purchase,7786.71,expense
Electricity Bill,2063.96,expense
Bonus Received,1915.1,income
Bonus Received,599.47,income
Home Loan Interest,9667.98,liability
Mutual Fund Investment,6094.16,asset
Amazon Purchase,4019.33,expense
FD Deposit,2883.6,asset
Uber Ride,715.43,expense
Salary Credit,2950.79,income
Freelance Payment,6085.22,income
Uber Ride,2045.72,expense
Car Loan EMI,1359.4,liability
Loan EMI,9704.81,liability
Interest Credit,2916.51,income
Electricity Bill,7630.23,expense
Loan EMI,5600.64,liability
Electricity Bill,8705.93,expense
Gold Investment,2835.18,asset
Mutual Fund Investment,2084.51,asset
Uber Ride,4665.14,expense
Bonus Received,7038.52,income
FD Deposit,8091.09,asset
FD Deposit,5146.68,asset
Interest Credit,4472.79,income
Amazon Purchase,9688.38,expense
Gold Investment,6872.58,asset
FD Deposit,6989.66,asset
Mutual Fund Investment,852.43,asset
Bonus Received,9259.88,income
Car Loan EMI,8850.16,liability
Stock Purchase,8280.59,asset
Loan EMI,2928.96,liability
Mutual Fund Investment,8509.85,asset
Electricity Bill,6127.59,expense
Loan EMI,2814.5,liability
Stock Purchase,4818.77,asset
Mutual Fund Investment,8387.87,asset
Swiggy Order,7539.32,expense
Amazon Purchase,3704.95,expense
Amazon Purchase,4785.25,expense
Gold Investment,4916.0,asset
Credit Card Bill,7920.38,liability
Bonus Received,7116.36,income
Swiggy Order,3551.84,expense
Freelance Payment,2185.68,income
Amazon Purchase,5550.41,expense
Freelance Payment,4250.29,income
Home Loan Interest,9647.16,liability
Amazon Purchase,7692.54,expense
FD Deposit,2427.42,asset
Gold Investment,1153.55,asset
Loan EMI,7141.82,liability
Swiggy Order,5605.12,expense
Swiggy Order,7641.44,expense
FD Deposit,4175.19,asset
Stock Purchase,4106.39,asset
Stock Purchase,2199.81,asset
Loan EMI,6719.77,liability
Interest Credit,8001.61,income
Electricity Bill,1279.42,expense
Amazon Purchase,1904.63,expense
Gold Investment,7678.86,asset
Home Loan Interest,578.28,liability
Uber Ride,257.61,expense
Bonus Received,2674.23,income
Car Loan EMI,7060.59,liability
Salary Credit,8326.88,income
Salary Credit,5985.19,income
Freelance Payment,7760.11,income
Bonus Received,1226.5,income
Electricity Bill,2841.67,expense
Interest Credit,2413.9,income
Uber Ride,4034.66,expense
Stock Purchase,5372.17,asset
Electricity Bill,8926.93,expense
Uber Ride,7779.26,expense
Loan EMI,4043.53,liability
Home Loan Interest,9644.78,liability
FD Deposit,462.99,asset
Electricity Bill,3371.04,expense
Uber Ride,9486.63,expense
Interest Credit,3132.01,income
Credit Card Bill,3779.92,liability
Electricity Bill,7461.34,expense
Amazon Purchase,4371.37,expense
FD Deposit,3880.85,asset
Amazon Purchase,8508.55,expense
Mutual Fund Investment,5208.16,asset
Car Loan EMI,5323.1,liability
Amazon Purchase,7424.88,expense
Stock Purchase,6089.69,asset
Salary Credit,263.23,income
Salary Credit,1620.34,income
Swiggy Order,5225.04,expense
Loan EMI,1574.66,liability
Interest Credit,9420.55,income
Electricity Bill,386.34,expense
Electricity Bill,6238.46,expense
Swiggy Order,9198.78,expense
Stock Purchase,8946.05,asset
Car Loan EMI,660.01,liability
Home Loan Interest,6844.17,liability
Swiggy Order,6091.56,expense
Loan EMI,2751.69,liability
Salary Credit,5453.46,income
Mutual Fund Investment,7685.14,asset
Loan EMI,1501.32,liability
Swiggy Order,7024.51,expense
Credit Card Bill,9833.65,liability
Uber Ride,4200.71,expense
Electricity Bill,7865.68,expense
Mutual Fund Investment,8528.13,asset
Credit Card Bill,5541.98,liability
Swiggy Order,8154.74,expense
Gold Investment,3720.67,asset
Mutual Fund Investment,5916.79,asset
Car Loan EMI,7529.44,liability
Electricity Bill,741.95,expense
Car Loan EMI,7063.07,liability
Salary Credit,8310.71,income
Salary Credit,6421.09,income
Gold Investment,4893.68,asset
Stock Purchase,8916.66,asset
Salary Credit,8852.6,income
Home Loan Interest,6720.59,liability
Stock Purchase,5306.58,asset
Freelance Payment,9636.73,income
Interest Credit,5269.81,income
Swiggy Order,8903.86,expense
Swiggy Order,3943.94,expense
Electricity Bill,5852.78,expense
Car Loan EMI,9193.27,liability
Salary Credit,3315.96,income
Gold Investment,8716.17,asset
Gold Investment,5569.66,asset
Amazon Purchase,9196.73,expense
Interest Credit,1415.86,income
Uber Ride,4400.66,expense
Electricity Bill,4636.16,expense
Mutual Fund Investment,6781.94,asset
Gold Investment,6067.15,asset
Electricity Bill,2134.21,expense
Uber Ride,580.83,expense
Electricity Bill,5368.16,expense
Mutual Fund Investment,1358.18,asset
Interest Credit,9836.43,income
Uber Ride,9259.65,expense
Mutual Fund Investment,9761.54,asset
Loan EMI,6792.02,liability
Credit Card Bill,2421.03,liability
Home Loan Interest,3336.85,liability
FD Deposit,2238.97,asset
Credit Card Bill,201.85,liability
Mutual Fund Investment,1717.97,asset
Amazon Purchase,9078.25,expense
Mutual Fund Investment,6758.64,asset
Electricity Bill,3725.71,expense
Interest Credit,5473.35,income
Gold Investment,2190.15,asset
Mutual Fund Investment,8031.96,asset
Stock Purchase,1537.14,asset
Bonus Received,6778.81,income
Home Loan Interest,9971.72,liability
Salary Credit,4774.33,income
Uber Ride,461.18,expense
Stock Purchase,4298.64,asset
Loan EMI,6029.37,liability
Uber Ride,5974.21,expense
Electricity Bill,9469.52,expense
Car Loan EMI,8685.92,liability
Stock Purchase,8428.62,asset
Freelance Payment,958.36,income
Uber Ride,516.17,expense
Amazon Purchase,201.95,expense
Freelance Payment,1251.57,income
Freelance Payment,5897.45,income
Salary Credit,3080.37,income
Electricity Bill,9756.3,expense
Swiggy Order,3049.28,expense
FD Deposit,9353.92,asset
Bonus Received,2390.1,income
Gold Investment,7757.69,asset
Gold Investment,6008.54,asset
Freelance Payment,6662.23,income
Loan EMI,174.92,liability
Car Loan EMI,8443.12,liability
Amazon Purchase,308.05,expense
Interest Credit,1585.06,income
Uber Ride,7551.99,expense
Freelance Payment,3317.22,income
Interest Credit,4126.45,income
Bonus Received,4023.54,income
Salary Credit,7062.71,income
Electricity Bill,4972.7,expense
Salary Credit,7313.98,income
Home Loan Interest,8814.39,liability
Electricity Bill,734.88,expense
Loan EMI,8009.51,liability
Gold Investment,3061.31,asset
Salary Credit,3551.1,income
Swiggy Order,4199.34,expense
Uber Ride,5142.58,expense
Mutual Fund Investment,1600.78,asset
Amazon Purchase,8101.49,expense
Interest Credit,4663.75,income
Credit Card Bill,7395.14,liability
Home Loan Interest,2885.88,liability
Mutual Fund Investment,1356.69,asset
Loan EMI,897.88,liability
Swiggy Order,6805.62,expense
Bonus Received,9829.28,income
Mutual Fund Investment,1832.17,asset
Home Loan Interest,7891.84,liability
Uber Ride,2034.24,expense
FD Deposit,8551.86,asset
Mutual Fund Investment,7199.48,asset
Amazon Purchase,7649.16,expense
Salary Credit,1652.19,income
