id,description,amount,category
138,Tax Payable,70331.59,liability
139,Salary Expense,36426.6,expense
140,Marketing Expense,97181.03,expense
141,Salary Expense,96248.48,expense
142,Rent Expense,25253.05,expense
143,Inventory,49775.13,asset
144,Tax Payable,30157.74,liability
145,Interest Income,28555.57,income
146,Accrued Expenses,3785.01,liability
147,Tax Payable,60995.48,liability
148,Accounts Receivable,50317.63,asset
149,Prepaid Expense,5242.73,asset
150,Loan Payable,27936.78,liability
151,Loan Payable,90835.76,liability
152,Sales Revenue,24032.23,income
153,Marketing Expense,14575.0,expense
154,Marketing Expense,48996.33,expense
155,Service Income,98566.48,income
156,Inventory,24281.32,asset
157,Inventory,67246.34,asset
158,Tax Payable,76185.8,liability
159,Cash,23839.99,asset
160,Equipment,72848.81,asset
161,Interest Income,36841.53,income
162,Tax Payable,63267.35,liability
163,Accounts Payable,63389.62,liability
164,Salary Expense,53623.89,expense
165,Loan Payable,9119.95,liability
166,Accounts Payable,83546.72,liability
167,Salary Expense,32145.93,expense
168,Sales Revenue,18733.2,income
169,Accrued Expenses,4173.44,liability
170,Salary Expense,59130.21,expense
171,,67788.68,liability
172,Cash,1757.12,asset
173,Utility Expense,51258.1,expense
174,Accrued Expenses,22726.93,liability
175,Cash,64552.76,asset
176,Salary Expense,17519.21,expense
177,Sales Revenue,69124.68,income
178,Salary Expense,,expense
179,Accounts Payable,93679.33,liability
180,Utility Expense,13838.34,expense
181,Equipment,34172.53,asset
182,Interest Income,invalid,income
183,Rent Expense,92476.89,expense
184,Tax Payable,87746.2,liability
185,Prepaid Expense,25868.37,asset
186,Equipment,66032.41,asset
187,Utility Expense,81740.5,expense
188,Accounts Receivable,55564.56,asset
189,Salary Expense,53012.09,expense
190,Marketing Expense,24261.04,expense
191,Cash,9400.97,asset
192,Utility Expense,89731.85,expense
193,Sales Revenue,90051.76,income
194,Loan Payable,63346.84,liability
195,Cash,33969.08,asset
196,Salary Expense,34986.04,expense
197,Accounts Receivable,72622.97,asset
198,Utility Expense,89721.31,expense
199,Sales Revenue,88719.93,income
200,Accrued Expenses,78009.57,liability
201,Rent Expense,64238.96,expense
202,Accrued Expenses,8505.58,liability
203,Accounts Payable,16246.71,liability
204,Sales Revenue,89865.56,income
205,Accounts Payable,60682.26,liability
206,Utility Expense,,expense
207,Rent Expense,,expense
208,,66383.83,income
209,Cash,605.65,asset
210,Marketing Expense,16164.72,expense
211,Accounts Receivable,54918.51,asset
212,Rent Expense,69220.33,expense
213,Tax Payable,65230.93,liability
214,Rent Expense,22504.5,expense
215,Loan Payable,71246.7,liability
216,Marketing Expense,invalid,expense
217,Accrued Expenses,32607.43,liability
218,Sales Revenue,74674.49,income
219,Accounts Receivable,64998.33,asset
220,Rent Expense,84937.42,expense
221,Interest Income,65795.53,income
222,Sales Revenue,56874.03,income
223,Equipment,9458.11,asset
224,Accounts Receivable,36834.81,asset
225,Sales Revenue,26593.72,income
226,Interest Income,24474.57,income
227,Accounts Payable,97303.75,liability
228,Tax Payable,39370.46,liability
229,Sales Revenue,89215.45,income
230,Service Income,63150.75,income
231,Sales Revenue,79501.65,income
232,Loan Payable,50313.45,liability
233,Sales Revenue,57732.7,income
234,Loan Payable,49302.52,liability
235,Utility Expense,19604.77,expense
236,Inventory,72272.97,asset
237,Rent Expense,28149.16,expense
238,Prepaid Expense,2529.17,asset
239,Inventory,64582.68,asset
240,Rent Expense,17793.36,expense
241,Tax Payable,94051.81,liability
242,Tax Payable,95397.46,liability
243,Accrued Expenses,91494.95,liability
244,Sales Revenue,37078.85,income
245,Utility Expense,1644.12,expense
246,Cash,92839.02,asset
247,Rent Expense,42875.6,expense
248,Accounts Payable,96668.82,liability
249,Service Income,96365.64,income
250,Accrued Expenses,,liability
251,Rent Expense,,expense
252,Rent Expense,38571.26,expense
253,,85128.55,liability
254,Rent Expense,31760.51,expense
255,Marketing Expense,17032.33,expense
256,Cash,55724.45,asset
257,Accounts Payable,93621.86,liability
258,Rent Expense,69633.38,expense
259,Tax Payable,57049.11,liability
260,Service Income,9807.93,income
261,,invalid,income
262,Prepaid Expense,99006.38,asset
263,Equipment,14094.39,asset
264,Utility Expense,51881.13,expense
265,Cash,87749.57,asset
266,Rent Expense,74102.78,expense
267,Loan Payable,69731.87,liability
268,Utility Expense,70278.16,expense
269,Prepaid Expense,36013.17,asset
270,Equipment,29429.83,asset
271,,80955.18,asset
272,Accounts Receivable,81030.33,asset
273,Rent Expense,86720.52,expense
274,Interest Income,91332.73,income
275,Salary Expense,51183.11,expense
276,Marketing Expense,50201.48,expense
277,Loan Payable,79849.69,liability
278,Interest Income,65031.4,income
279,Accounts Payable,70226.49,liability
280,Accrued Expenses,79599.69,liability
281,Service Income,89011.53,income
282,Sales Revenue,33865.72,income
283,Cash,37620.74,asset
284,Service Income,9488.8,income
285,Service Income,57870.19,income
286,Rent Expense,3690.63,expense
287,Loan Payable,46613.24,liability
288,Service Income,54310.2,income
289,Inventory,28725.47,asset
290,Salary Expense,59124.24,expense
291,Tax Payable,3146.97,liability
292,Salary Expense,3831.08,expense
293,Service Income,82277.8,income
294,Prepaid Expense,36083.05,asset
295,Accrued Expenses,12793.35,liability
296,Accounts Receivable,52272.1,asset
297,Equipment,77022.36,asset
298,Accounts Payable,21660.52,liability
299,Tax Payable,62326.76,liability
300,Service Income,8626.21,income
301,Equipment,5263.0,asset
302,Utility Expense,53182.33,expense
303,Cash,54109.45,asset
304,Utility Expense,63779.25,expense
305,Loan Payable,72636.52,liability
306,Accounts Payable,97587.62,liability
307,Sales Revenue,51678.4,income
308,Rent Expense,invalid,expense
309,Sales Revenue,79539.1,income
310,Interest Income,27156.14,income
311,Accrued Expenses,43953.24,liability
312,Accounts Payable,7937.79,liability
313,Utility Expense,2632.54,expense
314,Accounts Payable,96268.58,liability
315,Rent Expense,83614.41,expense
316,Salary Expense,69627.82,expense
317,Interest Income,40954.4,income
318,Accrued Expenses,17412.1,liability
319,Rent Expense,15728.06,expense
320,Accounts Payable,25099.27,liability
321,Accounts Receivable,,asset
322,Prepaid Expense,71488.13,asset
323,Rent Expense,66053.72,expense
324,Utility Expense,28065.4,expense
325,Service Income,95491.04,income
326,Interest Income,73815.9,income
327,Accounts Payable,55479.97,liability
328,Service Income,61210.9,income
329,Interest Income,42018.05,income
330,Prepaid Expense,24848.33,asset
331,Utility Expense,35661.67,expense
332,Rent Expense,75808.83,expense
333,Sales Revenue,,income
334,Accounts Receivable,11695.66,asset
335,Inventory,4695.66,asset
336,Sales Revenue,4168.81,income
337,Loan Payable,,liability
338,,70395.42,asset
339,Tax Payable,47469.97,liability
340,Accounts Receivable,invalid,asset
341,Loan Payable,49212.43,liability
342,Interest Income,,income
343,,,asset
344,Inventory,43441.78,asset
345,Sales Revenue,39910.62,income
346,Accounts Payable,61623.42,liability
347,Marketing Expense,63545.86,expense
348,Accrued Expenses,4625.87,liability
349,Service Income,37523.8,income
350,Accounts Payable,62623.41,liability
351,Inventory,50363.31,asset
352,Cash,85663.34,asset
353,Sales Revenue,65903.49,income
354,Loan Payable,16377.15,liability
355,Tax Payable,7149.82,liability
356,Loan Payable,64277.69,liability
357,Accounts Receivable,2748.48,asset
358,Marketing Expense,58618.98,expense
359,Accounts Payable,94029.0,liability
360,Accounts Payable,57589.87,liability
361,Sales Revenue,38878.18,income
362,Accrued Expenses,64364.49,liability
363,Loan Payable,45879.46,liability
364,Loan Payable,54607.12,liability
365,Marketing Expense,94152.33,expense
366,Cash,38671.65,asset
367,Prepaid Expense,96122.94,asset
368,Service Income,90544.53,income
369,Accounts Payable,19659.53,liability
370,Accounts Payable,7029.19,liability
371,Utility Expense,10167.72,expense
372,Cash,1920.36,asset
373,Marketing Expense,9534.85,expense
374,Service Income,68332.38,income
375,Prepaid Expense,7211.75,asset
376,Accounts Payable,31965.67,liability
377,Cash,84503.04,asset
378,Rent Expense,2424.87,expense
379,Cash,81465.4,asset
380,Sales Revenue,28257.29,income
381,Inventory,11904.67,asset
382,Tax Payable,69704.04,liability
383,Loan Payable,62931.39,liability
384,Sales Revenue,87759.45,income
385,Accounts Payable,73533.6,liability
386,Accrued Expenses,80367.74,liability
387,Service Income,28275.25,income
388,Rent Expense,17826.21,expense
389,Loan Payable,75086.41,liability
390,Interest Income,80702.79,income
391,Loan Payable,99051.46,liability
392,Inventory,41320.51,asset
393,Inventory,37264.61,asset
394,Equipment,77663.65,asset
395,Sales Revenue,34146.27,income
396,Accounts Payable,93082.66,liability
397,Accrued Expenses,85855.43,liability
398,Accounts Receivable,42956.5,asset
399,Sales Revenue,75112.02,income
400,Inventory,75478.83,asset
401,Marketing Expense,10402.07,expense
402,Tax Payable,90265.04,liability
403,Accounts Payable,50574.71,liability
404,Rent Expense,82663.1,expense
405,Interest Income,32072.96,income
406,Salary Expense,89562.77,expense
407,Prepaid Expense,38981.25,asset
408,Rent Expense,1182.68,expense
409,Tax Payable,90547.66,liability
410,Accrued Expenses,9219.54,liability
411,Accounts Receivable,31999.43,asset
412,Interest Income,95011.19,income
413,Loan Payable,95065.65,liability
414,Loan Payable,57386.45,liability
415,Accounts Receivable,63220.54,asset
416,Salary Expense,44899.71,expense
417,Service Income,29391.76,income
418,Accounts Receivable,32933.59,asset
419,Accounts Payable,67284.59,liability
420,Utility Expense,75262.22,expense
421,Tax Payable,79178.75,liability
422,Interest Income,78982.85,income
423,Loan Payable,9211.49,liability
424,Salary Expense,49492.59,expense
425,Accounts Payable,5850.12,liability
426,Tax Payable,invalid,liability
427,Sales Revenue,44208.9,income
428,Rent Expense,88781.65,expense
429,Interest Income,35156.41,income
430,Accrued Expenses,11794.99,liability
431,Sales Revenue,14384.87,income
432,Sales Revenue,76174.91,income
433,Prepaid Expense,61859.98,asset
434,,10202.16,income
435,Interest Income,8502.27,income
436,Service Income,invalid,income
437,Accounts Receivable,7369.02,asset
438,Service Income,82203.82,income
439,Prepaid Expense,70653.6,asset
440,Cash,8226.74,asset
441,Prepaid Expense,8575.29,asset
442,Rent Expense,98665.29,expense
443,Inventory,37489.65,asset
444,Interest Income,37127.15,income
445,Accounts Payable,81298.68,liability
446,Loan Payable,94730.13,liability
447,Equipment,98601.51,asset
448,Marketing Expense,75362.48,expense
449,Prepaid Expense,37688.33,asset
450,Service Income,8441.72,income
451,,77736.98,liability
452,Rent Expense,55884.58,expense
453,Utility Expense,42479.78,expense
454,Service Income,90644.8,income
455,Prepaid Expense,11208.63,asset
456,Accounts Payable,49313.25,liability
457,Salary Expense,1234.23,expense
458,Sales Revenue,46919.2,income
459,Marketing Expense,5724.7,expense
460,Tax Payable,11969.91,liability
461,Interest Income,11840.87,income
462,Marketing Expense,64956.11,expense
463,Accounts Receivable,,asset
464,Prepaid Expense,invalid,asset
465,Equipment,96221.04,asset
466,Prepaid Expense,37549.57,asset
467,Sales Revenue,28642.64,income
468,Utility Expense,86873.05,expense
469,Accrued Expenses,22437.22,liability
470,Service Income,96325.93,income
471,Cash,1314.23,asset
472,Cash,96990.89,asset
473,Tax Payable,4411.68,liability
474,Interest Income,89125.2,income
475,Accounts Receivable,52817.34,asset
476,Accrued Expenses,99297.18,liability
477,Utility Expense,invalid,expense
478,Sales Revenue,55430.04,income
479,Accrued Expenses,96933.32,liability
480,Marketing Expense,52357.47,expense
481,Accrued Expenses,62976.92,liability
482,Interest Income,69605.29,income
483,,45508.65,liability
484,Salary Expense,62793.05,expense
485,Sales Revenue,58473.0,income
486,Inventory,90125.69,asset
487,Rent Expense,4640.09,expense
488,Sales Revenue,28168.22,income
489,Utility Expense,95046.11,expense
490,Utility Expense,89037.35,expense
491,Rent Expense,45620.11,expense
492,Interest Income,62051.25,income
493,Equipment,27810.38,asset
494,Cash,18893.3,asset
495,Loan Payable,46423.47,liability
496,Interest Income,35399.89,income
497,Accrued Expenses,58407.25,liability
498,Cash,7865.69,asset
499,Service Income,97442.04,income
500,Loan Payable,98622.45,liability
501,Inventory,69846.36,asset
502,Accrued Expenses,,liability
503,Service Income,31021.81,income
504,Service Income,81398.12,income
505,Cash,68504.64,asset
506,Marketing Expense,16345.43,expense
507,Accrued Expenses,91101.63,liability
508,Salary Expense,82271.47,expense
509,Interest Income,94985.01,income
510,Interest Income,72599.38,income
511,Accrued Expenses,61380.18,liability
512,Accrued Expenses,41882.48,liability
513,Cash,93279.58,asset
514,Accounts Payable,86619.78,liability
515,Accounts Receivable,4617.35,asset
516,Sales Revenue,2734.06,income
517,Marketing Expense,37708.69,expense
518,Interest Income,81074.28,income
519,Utility Expense,98728.89,expense
520,Cash,invalid,asset
521,Cash,59453.66,asset
522,Rent Expense,38151.0,expense
523,Salary Expense,96994.45,expense
524,Cash,84227.68,asset
525,Salary Expense,83849.04,expense
526,Accrued Expenses,46922.45,liability
527,Accounts Payable,41540.47,liability
528,Rent Expense,27413.37,expense
529,Loan Payable,5731.91,liability
530,Rent Expense,86485.77,expense
531,Accounts Payable,81308.81,liability
532,Accrued Expenses,99971.8,liability
533,Service Income,99664.02,income
534,Inventory,55587.63,asset
535,Sales Revenue,76921.84,income
536,Equipment,94482.1,asset
537,Equipment,84979.77,asset
538,Sales Revenue,24810.08,income
539,Tax Payable,45109.36,liability
540,Accrued Expenses,13003.03,liability
541,Inventory,,asset
542,Accrued Expenses,,liability
543,Tax Payable,22941.42,liability
544,Accounts Receivable,67202.9,asset
545,Service Income,61851.01,income
546,Equipment,35880.46,asset
547,Equipment,11444.4,asset
548,Loan Payable,67190.16,liability
549,Accrued Expenses,52078.74,liability
550,Service Income,77254.61,income
551,Service Income,52064.33,income
552,Prepaid Expense,85232.93,asset
553,Sales Revenue,55235.49,income
554,Prepaid Expense,56137.7,asset
555,Salary Expense,87677.69,expense
556,Accrued Expenses,40407.94,liability
557,Cash,13488.12,asset
558,Accrued Expenses,2975.39,liability
559,Accrued Expenses,75538.21,liability
560,Sales Revenue,62068.92,income
561,Marketing Expense,70437.57,expense
562,Service Income,21375.12,income
563,Accounts Payable,13723.51,liability
564,,1553.01,asset
565,Cash,35123.7,asset
566,Prepaid Expense,59032.78,asset
567,Tax Payable,39285.18,liability
568,Sales Revenue,43803.74,income
569,Cash,90425.45,asset
570,Service Income,34890.72,income
571,Utility Expense,51447.55,expense
572,Cash,78386.94,asset
573,Sales Revenue,39714.62,income
574,Marketing Expense,62246.46,expense
575,Accounts Receivable,86250.13,asset
576,Sales Revenue,,income
577,Inventory,14792.64,asset
578,,92666.1,income
579,Interest Income,49262.42,income
580,,25898.61,liability
581,Cash,45967.66,asset
582,Marketing Expense,98005.25,expense
583,Inventory,49312.55,asset
584,Inventory,,asset
585,Service Income,63376.75,income
586,Sales Revenue,24090.55,income
587,Rent Expense,7678.75,expense
588,Utility Expense,12975.08,expense
589,Interest Income,12891.78,income
590,Service Income,15275.08,income
591,Marketing Expense,13968.83,expense
592,Tax Payable,64123.39,liability
593,Interest Income,18269.82,income
594,Service Income,34632.16,income
595,Salary Expense,89689.16,expense
596,Interest Income,47448.77,income
597,Accrued Expenses,66789.02,liability
598,Interest Income,17314.76,income
599,Utility Expense,19309.67,expense
600,Interest Income,4182.77,income
601,Accrued Expenses,16976.61,liability
602,Sales Revenue,27931.17,income
603,Interest Income,17783.35,income
604,Equipment,8961.38,asset
605,Accrued Expenses,12151.52,liability
606,Inventory,46131.8,asset
607,Accounts Payable,20712.74,liability
608,Interest Income,36490.56,income
609,Sales Revenue,50391.39,income
610,Service Income,69070.44,income
611,Utility Expense,4027.28,expense
612,Accrued Expenses,79961.1,liability
613,Marketing Expense,62827.25,expense
614,,8267.73,asset
615,Accrued Expenses,87370.5,liability
616,Interest Income,92095.15,income
617,Loan Payable,6201.69,liability
618,Loan Payable,27760.08,liability
619,Salary Expense,80639.51,expense
620,Sales Revenue,74851.14,income
621,Sales Revenue,18533.65,income
622,Salary Expense,21014.0,expense
623,Salary Expense,37110.16,expense
624,Rent Expense,48503.85,expense
625,Utility Expense,61863.65,expense
626,Utility Expense,36954.47,expense
627,Accrued Expenses,46307.22,liability
628,Loan Payable,74772.35,liability
629,Service Income,3764.65,income
630,Accrued Expenses,25318.45,liability
631,Utility Expense,71363.62,expense
632,Loan Payable,89531.16,liability
633,Accrued Expenses,51216.58,liability
634,Cash,53258.14,asset
635,Accounts Receivable,10806.48,asset
636,Marketing Expense,44796.5,expense
637,Inventory,53308.46,asset
638,Accrued Expenses,24322.8,liability
639,Sales Revenue,26997.4,income
640,Service Income,37790.69,income
641,Loan Payable,2105.11,liability
642,Accounts Receivable,32275.71,asset
643,Accounts Payable,21223.66,liability
644,Interest Income,32816.99,income
645,Service Income,12064.24,income
646,Salary Expense,89063.68,expense
647,Salary Expense,59399.89,expense
648,Prepaid Expense,,asset
649,Rent Expense,78938.21,expense
650,Sales Revenue,49894.38,income
651,Accounts Payable,8783.34,liability
652,Accounts Payable,53756.94,liability
653,Accounts Receivable,58725.43,asset
654,Utility Expense,invalid,expense
655,Service Income,43222.79,income
656,Salary Expense,12845.27,expense
657,Accounts Payable,invalid,liability
658,Utility Expense,36371.92,expense
659,Salary Expense,64627.13,expense
660,Accounts Payable,57120.75,liability
661,Tax Payable,35674.06,liability
662,Tax Payable,98652.87,liability
663,Accounts Payable,60616.9,liability
664,Accrued Expenses,23798.96,liability
665,Prepaid Expense,10268.07,asset
666,Cash,15370.63,asset
667,Rent Expense,24671.18,expense
668,Cash,16152.07,asset
669,Utility Expense,18738.05,expense
670,Rent Expense,28581.01,expense
671,Service Income,17420.02,income
672,Sales Revenue,89686.87,income
673,Sales Revenue,8115.35,income
674,Marketing Expense,52498.69,expense
675,Utility Expense,41098.64,expense
676,Equipment,98239.62,asset
677,Rent Expense,11292.69,expense
678,Rent Expense,39845.77,expense
679,Service Income,96950.1,income
680,Accrued Expenses,86564.16,liability
681,Service Income,81725.5,income
682,,25864.49,expense
683,Accounts Payable,17171.67,liability
684,Accrued Expenses,66897.46,liability
685,Sales Revenue,92944.66,income
686,Inventory,55720.61,asset
687,Interest Income,57204.11,income
688,Rent Expense,28069.91,expense
689,Salary Expense,76972.34,expense
690,Inventory,18785.67,asset
691,Service Income,32435.56,income
692,Sales Revenue,42601.1,income
693,Salary Expense,50810.28,expense
694,Interest Income,24316.73,income
695,Loan Payable,11572.2,liability
696,Sales Revenue,61100.94,income
697,Interest Income,28934.19,income
698,Salary Expense,58165.7,expense
699,Inventory,15520.84,asset
700,Tax Payable,48165.9,liability
701,,53305.68,income
702,Interest Income,5277.17,income
703,Accounts Receivable,33726.77,asset
704,Accrued Expenses,13528.03,liability
705,Interest Income,6431.16,income
706,Rent Expense,98997.03,expense
707,Accounts Receivable,32303.15,asset
708,Tax Payable,81006.46,liability
709,Utility Expense,25538.6,expense
710,Service Income,68182.12,income
711,Inventory,76046.76,asset
712,Utility Expense,59604.31,expense
713,Cash,47210.46,asset
714,Inventory,41242.91,asset
715,Accrued Expenses,34951.94,liability
716,,92959.96,income
717,Service Income,83078.88,income
718,Utility Expense,96506.19,expense
719,Service Income,12517.29,income
720,Inventory,73113.66,asset
721,Rent Expense,93840.21,expense
722,Marketing Expense,18205.18,expense
723,Marketing Expense,6742.98,expense
724,Accrued Expenses,74137.95,liability
725,Interest Income,57489.86,income
726,Accrued Expenses,84198.69,liability
727,Interest Income,14063.26,income
728,Accrued Expenses,79547.2,liability
729,Loan Payable,20242.57,liability
730,Loan Payable,16449.23,liability
731,Prepaid Expense,16510.15,asset
732,,81476.01,expense
733,Sales Revenue,66553.2,income
734,Inventory,,asset
735,Accrued Expenses,35947.17,liability
736,Utility Expense,87732.33,expense
737,Interest Income,39305.27,income
738,Accrued Expenses,81678.28,liability
739,Accrued Expenses,43969.58,liability
740,Interest Income,37756.75,income
741,Interest Income,46321.71,income
742,Rent Expense,30207.65,expense
743,Marketing Expense,74786.18,expense
744,Utility Expense,50321.77,expense
745,Cash,23298.05,asset
746,Loan Payable,89967.5,liability
747,Tax Payable,38450.73,liability
748,Interest Income,54400.93,income
749,Accrued Expenses,90656.56,liability
750,Interest Income,62461.38,income
751,,11778.11,expense
752,Sales Revenue,93989.23,income
753,Sales Revenue,62808.03,income
754,Salary Expense,33557.07,expense
755,Utility Expense,14013.28,expense
756,Loan Payable,79423.12,liability
757,Sales Revenue,62045.27,income
758,Equipment,53392.76,asset
759,Loan Payable,89399.87,liability
760,Salary Expense,78880.86,expense
761,Accrued Expenses,15252.32,liability
762,Marketing Expense,31241.03,expense
763,Loan Payable,24924.07,liability
764,Loan Payable,74420.23,liability
765,Accounts Receivable,3449.89,asset
766,Sales Revenue,57031.98,income
767,Sales Revenue,76269.62,income
768,Accounts Receivable,87688.89,asset
769,Sales Revenue,34273.97,income
770,Sales Revenue,82143.6,income
771,Cash,11152.11,asset
772,Cash,84660.58,asset
773,Marketing Expense,12836.12,expense
774,Salary Expense,39789.0,expense
775,Utility Expense,79749.81,expense
776,Accrued Expenses,15076.75,liability
777,Accounts Payable,23002.21,liability
778,Accrued Expenses,72253.03,liability
779,Tax Payable,72031.65,liability
780,Utility Expense,64150.65,expense
781,Utility Expense,69425.45,expense
782,Salary Expense,54318.17,expense
783,Inventory,invalid,asset
784,Inventory,34635.03,asset
785,Sales Revenue,18241.61,income
786,Interest Income,90854.21,income
787,Inventory,58380.84,asset
788,Marketing Expense,40145.06,expense
789,Rent Expense,46254.38,expense
790,Accounts Payable,94733.61,liability
791,Sales Revenue,15419.81,income
792,Inventory,58664.36,asset
793,Service Income,50638.28,income
794,,61184.28,liability
795,Service Income,1909.21,income
796,Inventory,87225.18,asset
797,Equipment,93218.62,asset
798,Accounts Payable,56556.81,liability
799,Service Income,69695.42,income
800,Cash,92257.69,asset
801,Salary Expense,invalid,expense
802,Equipment,15338.65,asset
803,Accrued Expenses,57671.21,liability
804,Service Income,60710.83,income
805,Sales Revenue,42470.65,income
806,Accounts Payable,73670.78,liability
807,Accounts Receivable,93443.26,asset
808,Interest Income,92564.29,income
809,Sales Revenue,45138.85,income
810,,11412.48,income
811,Inventory,98485.64,asset
812,Equipment,83905.92,asset
813,Loan Payable,12553.8,liability
814,Interest Income,invalid,income
815,Tax Payable,87002.65,liability
816,,51931.92,liability
817,Tax Payable,59168.42,liability
818,Accrued Expenses,39960.37,liability
819,Equipment,5570.69,asset
820,Loan Payable,33586.2,liability
821,Rent Expense,80305.06,expense
822,Tax Payable,562.74,liability
823,Service Income,33416.57,income
824,Sales Revenue,39877.05,income
825,Accounts Payable,53785.82,liability
826,Interest Income,91993.58,income
827,Inventory,34699.96,asset
828,Rent Expense,34760.62,expense
829,Utility Expense,73776.37,expense
830,Utility Expense,45276.57,expense
831,Service Income,22538.02,income
832,Salary Expense,invalid,expense
833,Salary Expense,14171.62,expense
834,Service Income,17721.06,income
835,Equipment,49886.94,asset
836,Interest Income,41950.65,income
837,Accrued Expenses,91493.11,liability
838,Loan Payable,36303.15,liability
839,Equipment,58100.78,asset
840,Tax Payable,63263.2,liability
841,Marketing Expense,1408.14,expense
842,Prepaid Expense,66387.38,asset
843,Service Income,17885.79,income
844,Salary Expense,96110.92,expense
845,Equipment,14951.41,asset
846,Rent Expense,41520.95,expense
847,Accounts Receivable,,asset
848,Service Income,99687.74,income
849,Interest Income,50269.28,income
850,Prepaid Expense,59578.96,asset
851,Rent Expense,6800.94,expense
