Date,Description,Amount,txn_id,remarks,ref_no,Narration
08-03-2023,Officesupplies,43233.23,TXN32459,ok,595129,
13-07-2023,Insurance premium,96482.3,TXN66766,ok,229245,
30-06-2023,Vendor payment,22171.83,TXN96128,ok,889933,
26-08-2023,client payment received,23944.69,TXN72864,ok,722038,
15-02-2023,vehiclepurchase,80138.16,TXN44611,ok,632550,
08-06-2023,,21706.64,TXN61631,ok,516795,Laptoppurchase
16-06-2023,Office supplies,79192.45,TXN97816,,294821,
01-11-2023,,52618.54,TXN67618,ok,741498,Amazon order
14-04-2023,,12275.94,TXN49898,,123416,mobile recharge
30-09-2023,internet bill,44413.48,TXN61786,,396006,
16-08-2023,electricity bill,60830.08,TXN55987,ok,836372,
10-05-2023,Electricity bill,27202.55,TXN30942,ok,269314,
11-05-2023,Loan EMI,67550.14,TXN64490,ok,657178,
02-08-2023,Bonus received,59478.63,TXN42632,ok,763601,
12-09-2023,Uber ride,84738.92,TXN40618,ok,789471,
06-08-2023,Freelance income,59304.37,TXN85392,ok,311409,
31-03-2023,Rent payment,74212.2,TXN19180,ok,964923,
22-02-2023,Salarycredited,4644.08,TXN71950,,941009,
24-03-2023,,98746.0,TXN70115,,399917,Office supplies
08-03-2023,Mobile recharge,,TXN27096,,188266,
17-10-2023,Vendor payment,57892.11,TXN59045,ok,620393,
30-07-2023,bonus received,36918.07,TXN98332,ok,770749,
15-10-2023,Client payment received,57114.59,TXN47572,ok,589511,
12-12-2023,Insurance premium,62215.85,TXN29273,ok,783970,
02-04-2023,Vehiclepurchase,21720.48,TXN93746,ok,742202,
01-08-2023,Consulting income,99169.86,TXN83104,ok,483156,
13-12-2023,Mobile recharge,60137.17,TXN43941,,735049,
10-10-2023,Client payment received,40563.71,TXN35160,ok,767877,
03-01-2023,Amazon order,97689.13,TXN22105,ok,761553,
15-08-2023,,64864.83,TXN97360,,517614,Netflix subscription
22-02-2023,Salary credited,74491.84,TXN31427,ok,388009,
15-10-2023,office supplies,44437.22,TXN20998,ok,457085,
21-11-2023,LoanEMI,41058.18,TXN67614,ok,546764,
28-07-2023,,39149.42,TXN56514,ok,786540,Laptop purchase
23-02-2023,Salary credited,19008.49,TXN62108,,828002,
08-08-2023,,62834.28,TXN76234,,909889,Gymmembership
13-08-2023,,56011.18,TXN23369,ok,936638,Mobilerecharge
22-10-2023,Client payment received,17722.43,TXN32406,ok,614704,
10-12-2023,Vehicle purchase,104.36,TXN37390,ok,268853,
18-09-2023,Salary credited,86074.52,TXN43252,ok,520427,
19-04-2023,Vendor payment,63516.15,TXN58244,ok,362996,
14-08-2023,Amazon order,24211.2,TXN58925,,327324,
01-03-2023,,97907.5,TXN11710,,314982,office supplies
15-05-2023,Internet bill,93521.58,TXN64832,,933990,
23-04-2023,,73435.87,TXN79740,ok,934503,amazon order
24-10-2023,,18746.39,TXN10494,,744591,Laptop purchase
05-11-2023,Freelance income,14843.4,TXN63592,,351048,
18-09-2023,Electricity bill,43551.2,TXN57555,,652877,
29-09-2023,,65540.72,TXN90948,ok,969454,Insurance premium
06-05-2023,Internetbill,3739.67,TXN80314,ok,914397,
06-06-2023,Loan EMI,,TXN46101,ok,979729,
18-11-2023,Mobilerecharge,13689.62,TXN51948,ok,259628,
14-08-2023,Salary credited,53643.01,TXN92913,ok,769191,
12-01-2023,Gym membership,22862.53,TXN26458,ok,261125,
26-02-2023,Uber ride,55791.69,TXN73160,ok,721551,
15-08-2023,Vendorpayment,68108.49,TXN44084,ok,478716,
17-04-2023,Electricity bill,41829.54,TXN65234,ok,782409,
21-09-2023,,33665.83,TXN30320,ok,176690,Amazon order
26-07-2023,Insurance premium,29736.5,TXN83189,ok,842745,
30-11-2023,Amazonorder,16373.13,TXN89620,ok,978387,
24-08-2023,Vehicle purchase,88640.28,TXN55927,ok,162035,
17-05-2023,Consulting income,72521.88,TXN56571,ok,848973,
08-08-2023,,77230.49,TXN37495,ok,913469,Loan EMI
20-05-2023,,51263.9,TXN39502,,237872,Vehicle purchase
04-03-2023,Loan EMI,60804.05,TXN86421,,329705,
16-07-2023,Freelanceincome,95154.16,TXN24484,ok,714648,
25-04-2023,,23507.24,TXN44843,ok,402596,Insurance premium
15-11-2023,Amazon order,37320.81,TXN63893,ok,625002,
18-07-2023,Client payment received,77406.24,TXN91279,ok,341705,
12-04-2023,Salary credited,87582.96,TXN98365,,174776,
19-07-2023,vehiclepurchase,63852.85,TXN31042,,616731,
12-04-2023,Electricity bill,48043.7,TXN77675,,778511,
02-10-2023,Vehicle purchase,1609.3,TXN53888,ok,615919,
05-03-2023,,90601.91,TXN90564,ok,875946,Rent payment
16-06-2023,Consulting income,423.71,TXN51301,ok,392969,
22-06-2023,,3121.63,TXN96453,ok,648582,bonus received
19-05-2023,freelance income,27160.29,TXN53007,ok,928239,
27-12-2023,Vehicle purchase,,TXN67153,,436845,
17-04-2023,Mobilerecharge,38628.74,TXN35614,,210248,
27-05-2023,netflix subscription,89789.77,TXN58538,ok,818364,
15-01-2023,freelance income,83229.3,TXN11008,ok,611493,
02-07-2023,Mobile recharge,36016.51,TXN63230,ok,303384,
19-05-2023,,52860.48,TXN93931,ok,148888,bonus received
17-05-2023,vendor payment,84758.79,TXN28614,,113609,
15-01-2023,,,TXN30089,ok,853920,Salary credited
05-06-2023,Internet bill,60121.75,TXN58928,ok,109760,
24-09-2023,Salary credited,27443.0,TXN63081,ok,752826,
30-11-2023,Internet bill,83418.5,TXN69686,ok,238700,
05-10-2023,,60233.93,TXN55217,ok,187697,Mobile recharge
25-08-2023,insurance premium,66601.5,TXN73377,ok,346191,
21-05-2023,,35444.7,TXN59920,,867272,Insurance premium
15-04-2023,Client payment received,5196.41,TXN60399,ok,133600,
28-01-2023,,12904.9,TXN56202,ok,867804,Gymmembership
16-02-2023,,51968.79,TXN10442,,686550,Vendor payment
01-01-2024,,79226.71,TXN81190,ok,922093,Internet bill
02-10-2023,insurance premium,22973.02,TXN32943,,643281,
11-11-2023,Salary credited,70179.18,TXN57113,,530735,
09-11-2023,Vehicle purchase,14441.6,TXN30400,ok,259971,
29-05-2023,,14184.17,TXN44312,ok,118411,Mobile recharge
20-11-2023,Office supplies,83410.57,TXN34796,ok,327965,
07-02-2023,,24157.92,TXN24730,ok,368071,Client payment received
03-04-2023,Loan EMI,15354.07,TXN72217,ok,322969,
17-05-2023,Rent payment,1698.01,TXN88579,ok,467469,
20-01-2023,,19851.03,TXN34488,ok,738036,Mobile recharge
01-06-2023,,47230.81,TXN22612,,848910,Amazonorder
10-01-2023,,52014.09,TXN60157,ok,408653,Salary credited
18-04-2023,Electricity bill,1567.22,TXN44643,ok,885771,
27-07-2023,Mobile recharge,26564.75,TXN94590,ok,682901,
16-02-2023,Insurance premium,56138.04,TXN79652,ok,874496,
14-06-2023,,12417.25,TXN90189,ok,262660,loan emi
04-08-2023,Rent payment,53424.27,TXN16510,ok,506793,
09-02-2023,Vehicle purchase,8395.58,TXN26890,,361344,
13-03-2023,Freelance income,58568.04,TXN43725,ok,779625,
16-09-2023,,93811.4,TXN34233,ok,918830,Salary credited
21-01-2023,Rent payment,65762.11,TXN22959,ok,916329,
27-11-2023,Bonusreceived,34602.59,TXN39181,ok,546164,
24-09-2023,mobile recharge,35927.48,TXN49460,ok,440027,
10-01-2023,Vehicle purchase,909.23,TXN80101,ok,896681,
25-06-2023,,22790.82,TXN43832,ok,474084,Loan EMI
09-06-2023,Bonus received,95890.59,TXN13588,,971346,
30-10-2023,freelance income,41719.06,TXN64502,ok,484900,
08-01-2023,,18754.67,TXN49833,ok,888389,Netflix subscription
01-03-2023,Insurance premium,,TXN50919,ok,999175,
02-04-2023,netflix subscription,81722.21,TXN69228,ok,701972,
12-05-2023,Loan EMI,97955.68,TXN69200,ok,774852,
20-04-2023,Consulting income,96817.47,TXN24944,ok,905235,
15-11-2023,Loan EMI,65960.1,TXN77649,ok,487791,
25-06-2023,Uber ride,29059.21,TXN90942,ok,203174,
03-09-2023,Insurance premium,63668.64,TXN19096,,381160,
20-06-2023,mobile recharge,64772.53,TXN11068,,306167,
26-08-2023,,52946.37,TXN16435,ok,709825,Client payment received
13-08-2023,uber ride,61531.32,TXN14855,ok,258167,
11-10-2023,Gym membership,,TXN60914,ok,908396,
25-06-2023,,15713.51,TXN66897,ok,721753,Rent payment
07-01-2023,Electricity bill,19966.93,TXN92561,ok,518698,
07-03-2023,Loan EMI,85180.64,TXN49847,ok,218600,
16-10-2023,Gym membership,84005.72,TXN23129,ok,301648,
02-01-2023,,91485.61,TXN55136,ok,878994,Office supplies
04-06-2023,Mobile recharge,82656.23,TXN57344,ok,909301,
21-07-2023,,27542.33,TXN19865,ok,915294,Office supplies
09-11-2023,loan emi,33175.06,TXN56002,ok,988996,
11-01-2023,Client payment received,98091.98,TXN24401,ok,957796,
01-07-2023,Consultingincome,66184.09,TXN22889,ok,123125,
21-03-2023,Gym membership,95211.89,TXN76631,ok,790628,
23-03-2023,Mobile recharge,89524.07,TXN21204,ok,483754,
12-03-2023,,1834.06,TXN68057,,978164,Amazon order
18-08-2023,vendor payment,96730.85,TXN43361,ok,136187,
19-06-2023,Gym membership,14855.85,TXN63696,ok,744017,
06-05-2023,Gym membership,39233.91,TXN53397,,778452,
29-05-2023,,37001.48,TXN42811,,359613,Bonus received
08-10-2023,,86948.53,TXN49597,ok,582125,gym membership
08-05-2023,,47670.67,TXN62263,ok,369764,Vehiclepurchase
11-05-2023,Mobile recharge,11855.66,TXN93877,ok,793497,
18-03-2023,loan emi,15737.29,TXN20301,,283543,
04-03-2023,Electricity bill,65057.33,TXN89934,,291680,
14-04-2023,Rent payment,67586.01,TXN81603,ok,127014,
13-02-2023,insurance premium,97865.14,TXN55417,ok,967470,
13-02-2023,consultingincome,6106.87,TXN54366,,368460,
09-01-2023,Freelance income,74479.93,TXN93843,,923065,
09-11-2023,,54012.65,TXN61423,ok,262836,Office supplies
30-12-2023,Rent payment,24565.76,TXN15211,ok,980175,
06-09-2023,Salary credited,,TXN34293,ok,420242,
16-07-2023,internet bill,79340.22,TXN58505,,820443,
30-03-2023,,49915.2,TXN97689,,179347,Electricitybill
19-05-2023,Electricity bill,80734.22,TXN33963,,112297,
24-02-2023,Netflix subscription,44399.1,TXN93263,ok,308119,
27-09-2023,Uber ride,34461.47,TXN14738,ok,657861,
21-06-2023,electricity bill,83742.04,TXN51015,,831934,
16-11-2023,Office supplies,51350.98,TXN49409,,668481,
11-01-2023,Client payment received,,TXN55323,ok,873485,
09-05-2023,,85796.91,TXN64641,ok,935981,Consulting income
23-08-2023,,51920.05,TXN90018,,489275,Laptop purchase
30-06-2023,vehicle purchase,53190.85,TXN87834,ok,101914,
01-04-2023,Vendor payment,69426.54,TXN76150,ok,121586,
23-06-2023,,15774.52,TXN92149,ok,614660,vendor payment
12-07-2023,electricity bill,94944.28,TXN82707,ok,288567,
01-09-2023,electricity bill,76979.4,TXN59391,,142145,
26-07-2023,vendor payment,19072.75,TXN52166,,417250,
28-11-2023,mobile recharge,39033.85,TXN43845,ok,876345,
01-06-2023,Internetbill,92557.77,TXN61788,,134210,
22-12-2023,Salary credited,10104.91,TXN10499,ok,965622,
24-09-2023,Client payment received,,TXN13268,,867920,
14-02-2023,,30734.32,TXN63883,ok,568904,Rent payment
27-12-2023,Netflix subscription,95022.71,TXN59388,ok,663955,
21-03-2023,Uber ride,50015.56,TXN39466,ok,722925,
16-02-2023,,,TXN34947,,881281,insurance premium
02-10-2023,Electricity bill,72005.06,TXN73714,ok,220293,
01-03-2023,,,TXN99767,ok,577551,Consulting income
17-05-2023,,2015.26,TXN56888,,581746,Office supplies
25-02-2023,Insurance premium,35107.91,TXN55148,ok,929118,
08-06-2023,Laptop purchase,40542.17,TXN37232,ok,533192,
29-08-2023,Internet bill,46520.11,TXN38973,ok,471637,
11-12-2023,Vehicle purchase,74961.36,TXN86878,ok,819811,
27-08-2023,Internet bill,65219.76,TXN70253,ok,785823,
29-08-2023,vendor payment,,TXN92916,ok,968778,
02-11-2023,Freelance income,45654.11,TXN54708,ok,889479,
06-02-2023,Uber ride,27335.89,TXN87606,,748198,
28-02-2023,amazon order,85478.29,TXN69954,ok,887338,
25-10-2023,Internetbill,97990.54,TXN62035,ok,957689,
19-12-2023,,69866.16,TXN65451,ok,439134,Salary credited
08-12-2023,,1148.93,TXN20742,ok,741843,Uber ride
06-07-2023,vendor payment,,TXN87146,ok,450314,
01-08-2023,,24397.57,TXN45681,ok,878474,Freelance income
24-08-2023,amazon order,33700.0,TXN98138,,254347,
29-03-2023,,62669.14,TXN89211,,308002,Loan EMI
14-11-2023,,65075.05,TXN60299,ok,952902,rent payment
22-11-2023,,97618.91,TXN10354,,418524,consulting income
07-07-2023,Netflixsubscription,37506.71,TXN14696,ok,520981,
23-03-2023,Gym membership,36881.38,TXN67337,,139287,
11-10-2023,Vendor payment,48075.73,TXN73783,,193805,
15-12-2023,vendor payment,9143.88,TXN21875,,777626,
28-01-2023,Office supplies,7408.47,TXN94355,ok,326706,
01-04-2023,Uberride,19994.13,TXN26742,ok,296675,
31-12-2023,,33608.13,TXN93553,ok,976965,Electricitybill
25-04-2023,freelance income,46190.75,TXN15646,,496002,
29-01-2023,,45462.43,TXN42003,ok,858628,Laptop purchase
25-12-2023,,97053.21,TXN44470,ok,110654,Vehicle purchase
11-10-2023,Uber ride,81968.28,TXN61326,ok,914527,
08-06-2023,salary credited,65393.02,TXN38278,ok,641435,
28-05-2023,Laptoppurchase,85556.19,TXN60920,ok,532015,
04-01-2023,,94950.77,TXN61820,ok,332690,Insurance premium
27-02-2023,Freelance income,93536.97,TXN23486,ok,466408,
04-09-2023,Loan EMI,73320.7,TXN32878,ok,917366,
04-07-2023,Internet bill,51949.64,TXN55582,ok,911583,
04-01-2023,Laptop purchase,9553.44,TXN44893,ok,753133,
26-09-2023,,77005.26,TXN28029,,531028,freelance income
16-08-2023,Mobile recharge,45976.07,TXN32411,,770906,
01-04-2023,,23115.45,TXN68741,ok,907497,Electricity bill
12-08-2023,Gym membership,46665.62,TXN16627,ok,720042,
16-09-2023,,57448.85,TXN17836,ok,345110,Uber ride
02-10-2023,Office supplies,3805.15,TXN68338,ok,377819,
15-12-2023,Electricity bill,27231.24,TXN32051,ok,596019,
02-09-2023,,1633.26,TXN22713,,589321,Bonus received
10-08-2023,Vehicle purchase,45619.46,TXN25835,,513090,
26-11-2023,Rentpayment,39277.13,TXN79826,ok,364182,
17-02-2023,Consulting income,98811.77,TXN74720,ok,449474,
03-09-2023,,28694.0,TXN42156,ok,563193,Insurancepremium
03-06-2023,Office supplies,59039.69,TXN39440,ok,287314,
17-02-2023,Internet bill,54557.53,TXN28894,,663920,
19-01-2023,insurance premium,80693.38,TXN55496,ok,690952,
14-10-2023,Amazon order,93624.47,TXN73873,,403863,
19-01-2023,freelance income,30681.14,TXN96703,ok,979468,
14-11-2023,Freelance income,7493.46,TXN52582,,245629,
25-03-2023,rent payment,9993.82,TXN45916,ok,619702,
19-09-2023,Freelance income,84352.41,TXN56453,ok,936015,
21-02-2023,mobile recharge,99219.91,TXN43604,,978606,
14-06-2023,Gym membership,88308.0,TXN82766,,785155,
13-02-2023,,50390.07,TXN18283,,655316,Internet bill
17-11-2023,,57736.21,TXN15271,ok,708377,Rent payment
02-09-2023,,27972.01,TXN68923,ok,150510,Vendor payment
28-12-2023,Salary credited,27136.88,TXN50832,,168722,
09-03-2023,Electricity bill,92550.32,TXN63742,ok,431897,
09-08-2023,Client payment received,66296.61,TXN15982,ok,824807,
09-10-2023,Bonus received,16996.45,TXN37014,ok,274388,
09-03-2023,Netflix subscription,35765.39,TXN18384,ok,979562,
14-08-2023,Vendor payment,24623.89,TXN67702,,132227,
12-11-2023,,83865.22,TXN78904,,348460,Electricity bill
23-01-2023,Internet bill,47145.2,TXN91090,ok,117557,
30-06-2023,Loan EMI,62488.79,TXN46811,,645839,
18-06-2023,amazon order,,TXN92818,ok,178532,
29-09-2023,consulting income,78626.55,TXN78117,ok,653852,
03-01-2023,Bonus received,81738.82,TXN51325,ok,157894,
29-09-2023,Bonus received,41199.15,TXN46256,ok,180217,
20-12-2023,,79039.13,TXN59900,,747941,Laptop purchase
31-07-2023,Insurance premium,85459.71,TXN71008,ok,602575,
29-11-2023,Office supplies,36487.82,TXN62233,ok,109933,
06-10-2023,Vendor payment,,TXN64863,ok,538213,
01-11-2023,Amazon order,55291.25,TXN22227,ok,521181,
02-01-2023,,70432.3,TXN99669,ok,610561,Vendor payment
15-01-2023,,64556.18,TXN84419,,162748,Amazon order
16-02-2023,Vendor payment,88559.57,TXN13437,ok,671469,
20-10-2023,Netflix subscription,77042.52,TXN63532,,639964,
21-07-2023,Insurance premium,54060.85,TXN25455,ok,618410,
06-11-2023,Gym membership,66483.14,TXN37805,,552264,
16-04-2023,,8558.86,TXN31206,ok,252996,Insurance premium
16-08-2023,Laptop purchase,5890.82,TXN27866,ok,520960,
07-11-2023,,13167.0,TXN10774,ok,656881,Mobile recharge
01-06-2023,,11085.87,TXN92692,ok,385857,Electricitybill
31-08-2023,Client payment received,6470.39,TXN81375,,666753,
11-11-2023,Freelanceincome,81190.09,TXN56441,ok,518054,
18-10-2023,,77376.58,TXN29717,ok,687775,insurance premium
26-04-2023,Insurance premium,62161.67,TXN16356,,451848,
30-06-2023,Freelance income,,TXN44601,ok,516733,
25-07-2023,Gym membership,77487.62,TXN22337,,942489,
08-06-2023,amazon order,73772.3,TXN12767,ok,896513,
27-06-2023,,55986.45,TXN90665,ok,887906,Rent payment
29-07-2023,,50025.77,TXN62758,ok,603929,netflix subscription
29-04-2023,,90915.27,TXN36996,ok,333388,loan emi
22-01-2023,Salary credited,96564.18,TXN36039,ok,312563,
15-02-2023,gym membership,90776.37,TXN84748,ok,133080,
15-06-2023,,40556.75,TXN58983,ok,686559,Electricity bill
12-05-2023,Electricity bill,5736.68,TXN82832,ok,107916,
04-01-2023,,78724.17,TXN30143,ok,573688,Gym membership
27-09-2023,vehicle purchase,29871.29,TXN22719,ok,268879,
15-11-2023,Office supplies,1784.92,TXN88913,ok,527525,
21-05-2023,Mobile recharge,7523.05,TXN96710,,851108,
08-02-2023,Bonus received,12079.58,TXN28337,,238588,
13-02-2023,Bonus received,52164.95,TXN75871,ok,483497,
19-08-2023,,59065.06,TXN78759,ok,672015,Client payment received
30-05-2023,Rent payment,86375.41,TXN79564,ok,496698,
14-10-2023,Bonus received,92849.74,TXN34779,ok,529012,
03-12-2023,LoanEMI,12269.25,TXN91369,,930225,
17-06-2023,Office supplies,85833.6,TXN11482,,436755,
30-05-2023,Laptop purchase,17122.07,TXN15775,,811467,
01-05-2023,Electricity bill,28595.67,TXN42697,ok,440546,
18-03-2023,Mobilerecharge,12821.48,TXN33928,ok,932990,
24-05-2023,freelanceincome,37325.55,TXN80085,,688545,
09-03-2023,,71829.17,TXN45124,ok,583375,Vehicle purchase
18-01-2023,rent payment,60685.49,TXN30812,ok,659862,
29-08-2023,Office supplies,98430.23,TXN82491,ok,255108,
09-06-2023,,27661.81,TXN36438,ok,515432,Freelance income
09-02-2023,,12788.75,TXN39734,ok,478738,Electricity bill
23-05-2023,Salary credited,16058.88,TXN14475,ok,825256,
13-04-2023,Vendor payment,9677.21,TXN73730,ok,537304,
23-08-2023,Amazon order,82150.15,TXN84011,ok,768035,
22-04-2023,Freelance income,21035.98,TXN34824,ok,357033,
02-10-2023,,4227.0,TXN55589,,969925,Uberride
14-10-2023,,95370.28,TXN83629,ok,561560,Netflix subscription
06-02-2023,Netflix subscription,66342.52,TXN41350,,278248,
17-09-2023,Netflix subscription,37827.81,TXN64671,ok,554319,
18-03-2023,Consulting income,37020.04,TXN88255,ok,872071,
18-02-2023,office supplies,12223.52,TXN30917,ok,922857,
10-09-2023,Gymmembership,18646.88,TXN47488,ok,813340,
24-04-2023,,98213.6,TXN99194,,445153,Consulting income
12-12-2023,Vehicle purchase,36778.82,TXN42352,ok,308377,
17-04-2023,Vendor payment,76969.72,TXN47835,ok,259967,
30-07-2023,Consulting income,46166.41,TXN75010,,919749,
05-07-2023,,71418.6,TXN46950,ok,142774,Vendor payment
21-07-2023,Consultingincome,48943.46,TXN79282,ok,277712,
07-01-2023,Loan EMI,70144.95,TXN34599,,217700,
10-08-2023,electricity bill,8032.86,TXN14520,,874571,
14-02-2023,Vendor payment,70258.2,TXN62538,ok,762364,
30-05-2023,internet bill,80274.73,TXN36457,,169447,
23-02-2023,,,TXN92684,ok,826737,Internet bill
04-05-2023,vehicle purchase,41038.12,TXN85940,,300538,
30-05-2023,Loan EMI,74238.59,TXN15622,,285127,
12-07-2023,Uber ride,74212.09,TXN18266,,474653,
04-02-2023,,85796.75,TXN31379,ok,594014,gym membership
27-11-2023,Bonus received,,TXN96847,,295383,
01-08-2023,Gym membership,96330.51,TXN87641,,719614,
05-11-2023,,59386.63,TXN77918,ok,141673,Rent payment
03-08-2023,Electricity bill,17880.44,TXN10653,ok,163325,
27-11-2023,Vendorpayment,71947.97,TXN79667,ok,356970,
18-03-2023,internet bill,99670.46,TXN92906,ok,666922,
15-05-2023,,18819.33,TXN99205,,166653,Gym membership
08-10-2023,Mobilerecharge,21672.91,TXN96090,ok,329082,
13-04-2023,laptop purchase,85974.19,TXN22132,ok,254219,
30-07-2023,mobile recharge,30001.51,TXN42030,ok,342690,
16-04-2023,Vehiclepurchase,51064.12,TXN92055,ok,837196,
28-10-2023,,,TXN64610,ok,432008,internet bill
21-09-2023,,21853.73,TXN46185,,676912,Client payment received
19-12-2023,Office supplies,8487.03,TXN84663,ok,628525,
06-12-2023,gym membership,93226.5,TXN36847,ok,754189,
09-10-2023,,56678.1,TXN78137,,633187,gym membership
08-04-2023,,55750.18,TXN58618,ok,908390,Netflix subscription
04-04-2023,,95912.64,TXN35254,ok,157421,Consulting income
04-08-2023,,92086.92,TXN56047,ok,150205,Internet bill
28-07-2023,Internet bill,42576.27,TXN69609,,377084,
31-01-2023,bonusreceived,63434.56,TXN44477,,976919,
06-03-2023,Amazon order,78855.77,TXN38011,,594105,
29-07-2023,,56373.73,TXN36330,ok,629764,rent payment
04-10-2023,,31790.61,TXN23332,,864498,loan emi
15-01-2023,,21079.32,TXN51015,ok,386378,Gym membership
11-11-2023,Consulting income,54812.86,TXN68857,ok,668640,
28-09-2023,Laptop purchase,17575.71,TXN74164,ok,948038,
25-11-2023,Internet bill,59062.46,TXN70979,ok,569029,
28-05-2023,Vehicle purchase,93951.51,TXN86798,ok,850382,
31-05-2023,,,TXN81847,ok,533392,Gym membership
20-03-2023,Loan EMI,16434.06,TXN25993,ok,212792,
18-04-2023,consulting income,20658.26,TXN59374,ok,984296,
03-09-2023,insurance premium,41912.52,TXN46809,,677440,
17-06-2023,Electricity bill,76972.93,TXN34565,ok,763239,
07-07-2023,,62117.42,TXN64369,,469235,Mobile recharge
05-11-2023,Loan EMI,35656.2,TXN50101,,129439,
15-09-2023,Internet bill,,TXN50122,ok,489183,
25-02-2023,Salary credited,37941.6,TXN32199,ok,135182,
13-05-2023,Bonusreceived,24341.17,TXN83669,ok,231253,
24-09-2023,,6484.05,TXN29482,ok,930963,Clientpaymentreceived
14-05-2023,office supplies,,TXN67083,ok,330291,
10-10-2023,amazon order,47084.62,TXN48680,,759592,
06-07-2023,Salary credited,56883.31,TXN34640,ok,188854,
18-03-2023,,63457.05,TXN94244,,639617,Electricity bill
25-03-2023,freelance income,36139.5,TXN37456,ok,905320,
17-07-2023,gym membership,87796.89,TXN98750,,166390,
04-02-2023,salary credited,59274.67,TXN16165,ok,854445,
23-11-2023,Insurance premium,58792.12,TXN18575,ok,957190,
06-07-2023,LoanEMI,65702.21,TXN52962,ok,769617,
16-03-2023,,65821.21,TXN83600,ok,618495,Gym membership
06-02-2023,Consulting income,51371.95,TXN10099,,148128,
03-07-2023,Salary credited,21139.12,TXN59060,ok,189599,
30-12-2023,Internet bill,5951.56,TXN62239,ok,287595,
15-04-2023,Rent payment,60817.97,TXN64462,,584689,
30-06-2023,Office supplies,11076.03,TXN96940,ok,877591,
09-12-2023,,85131.74,TXN31927,ok,103164,Netflixsubscription
24-03-2023,consulting income,24081.39,TXN13282,,910890,
16-02-2023,,76323.59,TXN95246,ok,131609,amazon order
22-07-2023,,74760.1,TXN48403,,246789,Gym membership
06-07-2023,Rentpayment,85786.8,TXN29467,ok,233163,
06-01-2023,Salary credited,47593.87,TXN86732,ok,204339,
08-12-2023,Consulting income,73258.63,TXN32689,,897515,
15-10-2023,Electricity bill,87015.34,TXN58486,ok,895681,
16-06-2023,Freelance income,46698.71,TXN86918,ok,895525,
21-01-2023,Gym membership,385.56,TXN99284,ok,914027,
08-01-2023,Netflix subscription,84186.44,TXN52824,ok,472288,
24-04-2023,Mobile recharge,45681.1,TXN82850,,821263,
07-11-2023,freelance income,86465.36,TXN55706,,127341,
24-12-2023,Insurance premium,14669.15,TXN17473,ok,855785,
05-02-2023,Uber ride,5230.03,TXN49538,ok,252692,
08-05-2023,Netflixsubscription,7811.67,TXN26184,ok,263087,
26-01-2023,,35495.27,TXN39775,ok,148866,clientpaymentreceived
21-03-2023,electricity bill,55406.37,TXN24624,ok,303611,
02-06-2023,,11346.72,TXN82698,ok,105972,Gym membership
21-02-2023,Uber ride,15379.37,TXN74544,,862507,
25-06-2023,,41884.27,TXN43609,,809240,Electricity bill
03-04-2023,Gymmembership,40774.08,TXN49768,ok,393542,
11-07-2023,Vendor payment,53409.65,TXN39638,ok,163400,
23-10-2023,,16462.75,TXN58944,,291933,Insurance premium
22-11-2023,,48852.44,TXN67288,,678258,loan emi
